"FIGI","ISIN","CUSIP","SEDOL","TICKER","COUNTRY_CD","SECURITY_DESCRIPTION","PRICE","CURRENCY_CD"
BBG000016FT5,US078167BA02,"078167BA0",BYT79R9,VZ/31,US,VERIZON PENNSYLVANIA LLC 8.75% DEB 15/08/31,117.3705,USD
BBG001Z68YX6,US893574AA10,"893574AA1",B54PRD7,WPZ/41,US,TRANSCONTINENTAL GAS PIPE LINE CORP5.4% SNR 15/08/2041,96.28709,USD
BBG00001LS56,US905581AQ72,"905581AQ7","2939878",DWDP/25A,US,UNION CARBIDE CORP 6.79% DEB 01/06/25,102.1314,USD
BBG00002RYD6,US93884PCY43,"93884PCY4",B13K7K2,WGL/30,US,WASHINGTON GAS LIGHT CO 7.5% SNR MTN 01/04/2030 USD,107.63382,USD
BBG00000YMC9,US74740FGM23,"74740FGM2",B1396D5,PEP/26C,US,QUAKER OATS CO 7.45% SNR MTN 02/03/26 USD,102.45301,USD
BBG00005W9H4,US382388AL09,"382388AL0","2241294",UTX/38,US,RTX CORPORATION 7% SNR 15/04/2038,115.19783,USD
BBG00003H780,US96647KAF93,"96647KAF9",BD2Y8X9,PEP/26B,US,PEPSICO INC 7.29% SNR 15/09/26,103.95749,USD
BBG00005NBR8,US93884PCU21,"93884PCU2","2316404",WGL/28A,US,WASHINGTON GAS LIGHT CO 6.81% SNR MTN 13/03/28 USD,104.45001,USD
BBG000059NN2,US872649AQ17,"872649AQ1","2140205",NOC/28,US,NORTHROP GRUMMAN CORP 6.65% DEB 15/01/28,104.88904,USD
BBG000016447,US048825AZ68,"048825AZ6","2061146",BP/31A,US,ATLANTIC RICHFIELD CO 9.125% DEB 01/08/31,120.25811,USD
BBG00001VQ68,US577778BL68,"577778BL6","2611091",M/29,US,MACY'S INC 8.75% DEB 15/05/29,106.0625,USD
BBG00004HDQ5,US54866NBM02,"54866NBM0","2899789",LOW27B,US,LOWE'S COMPANIES INC 7.58% SNR MTN 18/06/27 USD,105.28618,USD
BBG00004HDC0,US54866NBK46,"54866NBK4","2899756",LOW27A,US,LOWE'S COMPANIES INC 7.61% SNR MTN 17/06/27 USD,107.02585,USD
BBG000031XK6,US158525AQ85,"158525AQ8","2581428",IP/25,US,INTERNATIONAL PAPER CO 7.75% DEB 01/09/25,100.96914,USD
BBG0000C0Y98,US89233PU791,"89233PU79",BYY4254,TM/38,US,TOYOTA MOTOR CREDIT CORP 0% SNR MTN 28/03/2038 USD,46.96,USD
BBG00000G368,US121899CH98,"121899CH9",B29RCX2,BNI45,US,BNSF RAILWAY 3.2% 1MTG 01/01/45,71.70745,USD
BBG00002G2V8,US577778AZ63,"577778AZ6","2573607",M/25,US,MACY'S INC 7.6% DEB 01/06/2025,101.97012,USD
BBG000049R38,US893817AA41,"893817AA4",B3BV530,RIG27,US,TRANSOCEAN INTERNATIONAL LTD 7.45% SNR 15/04/27,102.37319,USD
BBG000043R43,US844741AN81,"844741AN8",B3BV4M2,LUV27,US,SOUTHWEST AIRLINES CO 7.375% DEB 01/03/27,105.05551,USD
BBG00003NCK8,US907834AC95,"907834AC9","2273673",OXY/96,US,OCCIDENTAL PETROLEUM CORP 7.5% DEB 01/11/2096,110.9265,USD
BBG000025DV6,US12589YAF60,"12589YAF6","2541529",ETE/29A,US,CMS PANHANDLE HLDG 7% SNR 15/07/2029,107.15978,USD
BBG000038XW6,US10075EAZ16,"10075EAZ1",B136KW3,NGG/24,US,BOSTON GAS CO 6.95% SNR MTN 01/12/24 USD,100,USD
BBG004DGLWF1,US00101JAG13,"00101JAG1",B8FN7C0,ADT42,US,ADT SECURITY CORPORATION 4.875% SNR 15/07/42,67.48854,USD
BBG0089RFL46,US74432AH605,"74432AH60",BWGCJP1,PRU45B,US,PRUDENTIAL FINANCIAL INC 4.3% SNR MTN 15/03/2045 USD,85.95464,USD
BBG000BC5184,US416592AC73,"416592AC7","2108548",HIG/27,US,HARTFORD LIFE INC 7.65% DEB 15/06/27,104.22764,USD
BBG00005Z9Q1,US907834AG00,"907834AG0","2293165",OXY/28,US,OCCIDENTAL PETROLEUM CORP 7.15% DEB 15/05/28,105.08253,USD
BBG007GP0TV3,US655044AJ40,"655044AJ4",BSJV4K7,CVX/44,US,NOBLE ENERGY INC 5.05% SNR 15/11/44,83.53347,USD
BBG00004Z546,US482588AC48,"482588AC4","2150840",KMI/27B,US,K N CAPITAL TRUST 1 8.56% SUB 15/04/27,103.87578,USD
BBG000085RB4,US86312BAB36,"86312BAB3",B1GJFP7,SYFD34,US,STRATS TR GOLDMAN SACHS CAP I SECS 5.2% A/BKD 15/02/2034 USD,78.7252,USD
BBG001721ZN1,US36966TAJ16,"36966TAJ1",BVDQ249,GE/25B,US,GE AEROSPACE 4.3% SNR MTN 15/10/2025 USD,101.8304,USD
BBG009S1XCP7,US38143C4S70,"38143C4S7",BYW6ND7,GS45E,US,GOLDMAN SACHS GROUP INC 4.25% SNR MTN 15/08/45 USD,84.99253,USD
BBG000069PZ2,US071707AG82,"071707AG8","2279637",BOL28,US,BAUSCH & LOMB INC 7.125% DEB 01/08/2028 USD,102.98958,USD
BBG00627QVL8,US06050WFF77,"06050WFF7",BRBC188,BAC30DZ,US,BANK OF AMERICA CORPORATION 4.25% SNR MTN 15/03/30 USD,99.47752,USD
BBG00006CZC1,US94874RBD70,"94874RBD7",B0X5D79,WRI28,US,KIMCO REALTY CORP 6.46% SNR MTN 11/08/28 USD,103.30043,USD
BBG00005MZG8,US25746NAA37,"25746NAA3","2737845",D31,US,DOMINION RES CAP TRUST III 8.4% GTD SUB 15/01/2031 USD,102.09467,USD
BBG00003TB79,US228255AJ40,"228255AJ4",B066001,CCK96,US,CROWN CORK & SEAL CO INC 7.5% DEB 15/12/2096,102.14583,USD
BBG00B09L1B7,US06050WHM01,"06050WHM0",BYTBZ40,BAC43A,US,BANK OF AMERICA CORPORATION 4.15% SNR MTN 15/09/43 USD,87.23968,USD
BBG001Q99FG9,US149123BS95,"149123BS9",B3T0KH8,CAT41,US,CATERPILLAR INC 5.2% SNR 27/05/2041,100.15364,USD
BBG0000MQLN0,US20825CAQ78,"20825CAQ7",B4T4431,COP39,US,CONOCOPHILLIPS 6.5% GTD SNR 01/02/2039 USD,111.85917,USD
BBG001P7TY44,US29273RAP47,"29273RAP4",B4LTG94,ETP41,US,ENERGY TRANSFER LP 6.05% SNR 01/06/41,100.06368,USD
BBG0000CCQ10,US36962G3P70,"36962G3P7",B2NJ7Z1,GE/38,US,GE AEROSPACE 5.875% SNR MTN 14/01/38 USD,106.17764,USD
BBG0000J7CP6,US91913YAL48,"91913YAL4",B1YLTG4,VLO37,US,VALERO ENERGY CORP 6.625% GTD SNR 15/06/37 USD,108.65505,USD
BBG000058MK8,US549463AC10,"549463AC1","2255488",ALU28,US,ALCATEL-LUCENT USA INC 6.5% DEB 15/01/2028,100.57246,USD
BBG0000GXL55,US742718DF34,"742718DF3",B1THZH0,PG37,US,PROCTER & GAMBLE CO 5.55% SNR 05/03/37,105.76458,USD
BBG0000GS1S0,US828807CE50,"828807CE5",B3PR0Y0,SPG40,US,SIMON PROPERTY GROUP L.P. 6.75% SNR 01/02/40,113.12875,USD
BBG0000KKPY9,US565849AE68,"565849AE6",B27ZDL3,MRO37,US,MARATHON OIL CORPORATION 6.6% SNR 01/10/2037,110.66687,USD
BBG00005C1C8,US68389XAH89,"68389XAH8",B3LR141,ORCL39,US,ORACLE CORP 6.125% SNR 08/07/2039 USD,105.72111,USD
BBG00000LMS6,US492386AT42,"492386AT4","2806659",APC/31,US,KERR-MCGEE CORP 7.875% GTD SNR 15/09/31 USD,106.77438,USD
BBG00000Z045,US136385AJ06,"136385AJ0",B1BS7H5,CNQ37,US,CANADIAN NATURAL RESOURCES LTD 6.5% SNR 15/02/2037,105.50828,USD
BBG00000HV65,US210371AF74,"210371AF7","2014656",EXC/32,US,EXELON CORP 7.6% SNR 01/04/2032,115.95667,USD
BBG0000339V5,US59156RAP38,"59156RAP3",B1L8RP3,MET36,US,METLIFE INC 6.4%-FRN DEB 15/12/2036 USD,102.65111,USD
BBG00004J1S7,US345370CA64,"345370CA6","2445643",F31,US,FORD MOTOR CO 7.45% SNR 16/07/31,108.02,USD
BBG0000B94P9,US25746UAV17,"25746UAV1",B0BSGX7,D35,US,DOMINION ENERGY INC 5.95% SNR 15/06/35,105.81157,USD
BBG001YHHVY8,US25746UBM09,"25746UBM0",B4XHFS8,D41,US,DOMINION ENERGY INC 4.9% SNR 01/08/2041 USD 'C',90.63654,USD
BBG001CWW0W2,US29379VAT08,"29379VAT0",B3P4VB5,EPD41,US,ENTERPRISE PRODS OPER LLC DISC 5.95% GTD SNR 01/02/41 USD,104.14318,USD
BBG0000B6KP6,US341081ET03,"341081ET0",B0B0N65,NEE/35B,US,FLORIDA POWER & LIGHT COMPANY 4.95% 1MTG 01/06/35,99.97875,USD
BBG0000D1366,US341081FA03,"341081FA0",B2Q0F35,NEE/38,US,FLORIDA POWER & LIGHT COMPANY 5.95% 1MTG 01/02/38,107.32999,USD
BBG0000Q6G45,US341099CL11,"341099CL1",B39XY20,DUK/38C,US,DUKE ENERGY FLA LLC 6.4% 1MTG 15/06/38,110.33939,USD
BBG00005JHT8,US843452AZ62,"843452AZ6","2006103",KMI/32,US,SOUTHERN NATURAL GAS COMPANY 8% SNR 01/03/2032,114.44922,USD
BBG00006VK33,US852060AD48,"852060AD4","2327354",S/28,US,SPRINT CAPITAL CORP 6.875% GTD SNR 15/11/28 USD,109.17993,USD
BBG000044QN3,US880451AU37,"880451AU3","2053325",KMI/37B,US,TENNESSEE GAS PIPELINE CO 7.625% DEB 01/04/37,118.33896,USD
BBG001LV40V6,US887317AL94,"887317AL9",B5LPVC7,TWX41,US,WARNER MEDIA LLC 6.25% DEB 29/03/41,94.25769,USD
BBG00005D9V9,US449669AK64,"449669AK6","2141822",MOS/28,US,IMC GLOBAL INC 7.3% DEB 15/01/2028 USD,106.65944,USD
BBG00007VL66,US92344WAB72,"92344WAB7","2765222",VZ/33,US,VERIZON MARYLAND INC 5.125% DEB 15/06/33,98.81632,USD
BBG0014KKM61,US94973VAT44,"94973VAT4",B3PZ000,ELV40,US,ELEVANCE HEALTH INC 5.8% SNR 15/08/2040,99.87417,USD
BBG00002LPM1,US969457BB59,"969457BB5","2830807",WMB31,US,WILLIAMS COMPANIES INC 7.5% DEB 15/01/31 'A,112.46913,USD
BBG00005M9F7,US251799AA02,"251799AA0","2864107",DVN32,US,DEVON ENERGY CORP 7.95% DEB 15/04/32,117.61314,USD
BBG00162MBH9,US38141E3N76,"38141E3N7",BLNNQQ0,GS25I,US,GOLDMAN SACHS GROUP INC 5% SNR MTN 15/09/25,100.13976,USD
BBG0017X7B23,US38141E3P25,"38141E3P2",BLNMDH7,GS24L,US,GOLDMAN SACHS GROUP INC 4.75% SNR MTN 15/10/24 USD,100,USD
BBG00003WCV6,US28368EAE68,"28368EAE6","2836399",KMI/32B,US,KINDER MORGAN INC 7.75% SNR MTN 15/01/32 USD,115.61113,USD
BBG000086HM3,US283695BK98,"283695BK9","2787237",KMI/32D,US,EL PASSO NATURAL GAS 8.375% SNR 15/06/32,117.47618,USD
BBG00000WMJ4,US880451AW92,"880451AW9","2978194",KMI/32A,US,TENNESSEE GAS PIPELINE CO 8.375% SNR 15/06/32,117.64348,USD
BBG000080BY9,US91913YAP51,"91913YAP5",B65HH17,VLO39,US,VALERO ENERGY CORP 10.5% SNR 15/03/39,143.01912,USD
BBG0000CFMW2,US29078EAA38,"29078EAA3",B156W36,CTL/36,US,EMBARQ CORP 7.995% SNR 01/06/36,42.09838,USD
BBG0014XMPJ0,US057224AZ09,"057224AZ0",B57Y827,BKR40,US,BAKER HUGHES HOLDINGS LLC 5.125% SNR 15/09/40,96.88944,USD
BBG0019YVZ29,US341081FD42,"341081FD4",B4V3Q52,NEE/41A,US,FLORIDA POWER & LIGHT COMPANY 5.25% 1MTG 01/02/41,98.81499,USD
BBG0000KGB66,US341099CH09,"341099CH0",B27YLH2,DUK/37A,US,DUKE ENERGY FLA LLC 6.35% 1MTG 15/09/37,109.01615,USD
BBG0000HVZK7,US373334JR32,"373334JR3",B5L63R9,SO/40C,US,GEORGIA POWER CO 5.4% SNR 01/06/2040,100.19451,USD
BBG0014HZLZ2,US42809HAD98,"42809HAD9",B4TV238,HES41,US,HESS CORPORATION 5.6% SNR 15/02/2041 USD,100.38446,USD
BBG001J2JG88,US438516BB13,"438516BB1",B42R125,HON41,US,HONEYWELL INTERNATIONAL INC 5.375% SNR 01/03/41,100.16252,USD
BBG0000362Y4,US459200AM34,"459200AM3","2477163",IBM25,US,INTERNATIONAL BUS MACH CORP 7% DEB 30/10/2025,104.12778,USD
BBG000075JL3,US460146CF85,"460146CF8",B3MDYN8,IP39,US,INTERNATIONAL PAPER CO 7.3% SNR 15/11/2039,117.37362,USD
BBG001WSBN07,US46625HJB78,"46625HJB7",B6QKFT9,JPM41,US,JPMORGAN CHASE & CO. 5.6% SNR 15/07/2041,102.81031,USD
BBG0000W2FT1,US494550BF27,"494550BF2",B3S4PJ8,KMP40,US,KINDER MORGAN ENERGY PARTNERS 6.55% SNR 15/09/40,105.24934,USD
BBG0000CZ913,US500255AQ76,"500255AQ7",B282PB7,KSS37,US,KOHLS CORPORATION 6.875% SNR 15/12/37,64.25736,USD
BBG0000X6D74,US534187BA67,"534187BA6",B6686G7,LNC40,US,LINCOLN NATIONAL CORP 7% SNR 15/06/2040 USD,114.29738,USD
BBG001YF6PS4,US544152AE15,"544152AE1",B3XJTH4,BTI/41,US,R.J. REYNOLDS TOBACCO COMPANY 7% GTD SNR 04/08/2041 USD,106.16626,USD
BBG00001SH53,US59156RAM07,"59156RAM0",B0BXDC0,MET35,US,METLIFE INC 5.7% SNR 15/06/2035,105.95603,USD
BBG00005FQR4,US59156RAV06,"59156RAV0",B3Q5R19,MET39,US,METLIFE INC 10.75%-FRN DEB 01/08/39 USD,134.17208,USD
BBG001J411Z6,US655044AE52,"655044AE5",B3WSZZ2,NBL41,US,NOBLE ENERGY INC 6% SNR 01/03/2041,99.59772,USD
BBG001PM04Z4,US655844BD96,"655844BD9",B4ZZ6Q5,NSC11,US,NORFOLK SOUTHERN CORP 6% SNR 23/05/2111 USD,97.08337,USD
BBG00003BDG4,US666807AQ52,"666807AQ5",B2PLPT5,NOC26,US,NORTHROP GRUMMAN CORP 7.875% DEB 01/03/26,103.822,USD
BBG00000J855,US677347CE41,"677347CE4",B17P026,FE/36A,US,OHIO EDISON CO 6.875% SNR 15/07/36,113.412,USD
BBG001DQ9SR5,US68268NAG88,"68268NAG8",B4MRWJ9,OKE41,US,ONEOK PARTNERS LP 6.125% GTD SNR 01/02/41 USD,101.42712,USD
BBG0000J8NV4,US72650RAR30,"72650RAR3",B23G0D1,PAA37,US,PLAINS ALL AMERICAN PIPELINE LP 6.65% GTD SNR 15/01/37 USD,107.80134,USD
BBG0019HHJV6,US73755LAK35,"73755LAK3",B3RS2C3,NTR40,US,POTASH CORP OF SASKATCHEWAN 5.625% SNR 01/12/40,95.06267,USD
BBG001P0SPT2,US760759AN05,"760759AN0",B59N1S9,RSG41,US,REPUBLIC SERVICES INC 5.7% GTD SNR 15/05/2041 USD,102.84783,USD
BBG00004YWS2,US29379VAG86,"29379VAG8",B4RMRV6,EPD39,US,ENTERPRISE PRODS OPER LLC DISC 6.125% GTD SNR 15/10/39 USD,108.35485,USD
BBG00005JL82,US341099CB39,"341099CB3",B0J2FZ6,DUK/33C,US,DUKE ENERGY FLA LLC 5.9% 1MTG 01/03/33,103.90948,USD
BBG00182LHN8,US835495AJ18,"835495AJ1",B3PM3X5,SON40,US,SONOCO PRODUCTS CO 5.75% SNR 01/11/2040 USD,101.26081,USD
BBG001DN8YB7,US837004CE86,"837004CE8",B4359G8,SCG/41,US,DOMINION ENERGY SOUTH CAROLINA INC 5.45% 1MTG 01/02/41,98.96893,USD
BBG0000FSY64,US842400FH15,"842400FH1",B2NSPS7,EIX/38,US,SOUTHERN CALIFORNIA EDISON CO 5.95% 1MTG 01/02/38,101.3432,USD
BBG00000BJ13,US87612EAU01,"87612EAU0",B2NPQ41,TGT38,US,TARGET CORP 7% SNR 15/01/2038,117.92112,USD
BBG0017X1J31,US91324PBN15,"91324PBN1",B55H840,UNH40,US,UNITEDHEALTH GROUP INC 5.7% SNR 15/10/2040,104.9897,USD
BBG0000HTJD4,US927804FB53,"927804FB5",B1YYQG2,D/37,US,VIRGINIA ELECTRIC & POWER CO 6% SNR 15/05/2037 'A,107.00911,USD
BBG001MC52Y9,US931142DB66,"931142DB6",B654D54,WMT41,US,WALMART INC 5.625% SNR 15/04/41,106.68688,USD
BBG0000Q8XC7,US94106LAV18,"94106LAV1",B3MLNJ1,WM39,US,WASTE MANAGEMENT INC 6.125% GTD SNR 30/11/39 USD,110.40284,USD
BBG0000G0M59,US96950FAF18,"96950FAF1",B3RZKK8,WPZ40,US,WILLIAMS PARTNERS L P NEW 6.3% SNR 15/04/2040,107.86227,USD
BBG0021Y2R70,US98389BAN01,"98389BAN0",B5ZZ7P8,XEL41,US,XCEL ENERGY INC 4.8% SNR 15/09/2041,87.87833,USD
BBG00000YPS5,US644239AY16,"644239AY1","2363626",VZ/29,US,VERIZON NEW ENGLAND INC 7.875% DEB 15/11/29,115.66938,USD
BBG0000G1K61,US74432QBN43,"74432QBN4",B64X2G6,PRU40,US,PRUDENTIAL FINANCIAL INC 6.625% SNR MTN 21/06/40 USD,113.19918,USD
BBG0014LTMZ8,US25459HAX35,"25459HAX3",B58W6M6,DTV/40A,US,DIRECTV HLDGS LLC/DIRECTV FING INC 6% GTD SNR 15/08/40,102.43336,USD
BBG00001DR66,US92344GAS57,"92344GAS5","2962175",VZ/32,US,VERIZON COMMUNICATIONS 7.75% SNR 15/06/32,115.56232,USD
BBG000038MR6,US079867AP23,"079867AP2","2568562",T/95,US,BELLSOUTH TELECOMMUNICATIONS INC 7% DEB 01/12/2095,109.95041,USD
BBG00009XN57,US655844AV04,"655844AV0",B0D9DB5,NSC05,US,NORFOLK SOUTHERN CORP 6% SNR 15/03/2105,96.07008,USD
BBG00006CW01,US441812KB90,"441812KB9","2168520",HBC/32C,US,HSBC FINANCE CORP 7.35% SNR 27/11/32,106.90284,USD
BBG007GFNZM6,US06050WGN92,"06050WGN9",BTDYF51,BAC39D,US,BANK OF AMERICA CORPORATION 4.05% SNR MTN 15/11/39 USD,88.27878,USD
BBG00006LF08,US00184AAC99,"00184AAC9","7097674",TWX/31,US,WARNER MEDIA LLC 7.625% DEB 15/04/31,110.83243,USD
BBG000055B98,US961548AV62,"961548AV6","2546814",WRK/30,US,WESTROCK CO 8.2% DEB 15/01/2030,115.89437,USD
BBG000078LR9,US962166BT07,"962166BT0","2337461",WY33,US,WEYERHAEUSER COMPANY 6.875% DEB 15/12/33,110.36701,USD
BBG0014F8T43,US219350AV70,"219350AV7",B4YPKP3,GLW40,US,CORNING INC 5.75% SNR 15/08/40,101.61937,USD
BBG00002CV11,US013104AC87,"013104AC8","2825643",SVU/26,US,NEW ALBERTSONS LP 7.75% DEB 15/06/26,105.11506,USD
BBG00007H790,US013104AF19,"013104AF1","2447337",SVU/29,US,NEW ALBERTSONS LP 7.45% DEB 01/08/29,105.80458,USD
BBG00000VTQ2,US013104AL86,"013104AL8","2759775",SVU/31,US,NEW ALBERTSONS LP 8% DEB 01/05/2031,109.77237,USD
BBG000027NN1,US026874BS54,"026874BS5",B606MS1,AIG58,US,AMERICAN INTERNATIONAL GROUP INC 8.175%-FRN DEB 15/05/58 USD,113.94714,USD
BBG00003D123,US032511AJ61,"032511AJ6",BKBX085,APC96,US,OCCIDENTAL PETROLEUM CORP 7.73% DEB 15/09/96,106.27914,USD
BBG00001LKY1,US07786DAA46,"07786DAA4","2824349",VZ/28G,US,VERIZON PENNSYLVANIA LLC 6% DEB 01/12/2028,105.28735,USD
BBG0000BQ3H1,US101137AE71,"101137AE7",B0Q4ZC2,BSX35,US,BOSTON SCIENTIFIC CORP 6.25% SNR 15/11/35,112.99072,USD
BBG0000JF4W7,US002824AV29,"002824AV2",B5YSM31,ABT39,US,ABBOTT LABORATORIES 6% SNR 01/04/2039 USD,112.67275,USD
BBG0000CJJQ2,US026874AZ07,"026874AZ0",B1CYG08,AIG36,US,AMERICAN INTERNATIONAL GROUP INC 6.25% SNR 01/05/2036 USD,108.92621,USD
BBG00008XKL7,US03937LAA35,"03937LAA3",B1W1TN3,ARH-A34,US,ARCH CAPITAL GROUP 7.35% SNR 01/05/34,117.89632,USD
BBG00210CMK9,US040555CM49,"040555CM4",B713G42,PNW/41,US,ARIZONA PUBLIC SERVICE CO 5.05% SNR 01/09/41,92.23115,USD
BBG00003PSV9,US283695BE39,"283695BE3","2781637",KMI/26,US,EL PASSO NATURAL GAS 7.5% DEB 15/11/2026,107.20367,USD
BBG0000399B1,US197677AJ62,"197677AJ6","2086592",HCA/27,US,HCA INC. 7.05% DEB 01/12/27,106.78417,USD
BBG000032TK4,US19767QAQ82,"19767QAQ8","2141985",HCA/25A,US,HCA INC. 7.58% SNR MTN 15/09/25 USD,101.36431,USD
BBG00002X9J8,US19767QAS49,"19767QAS4","2595203",HCA/36,US,HCA INC. 7.75% SNR MTN 15/07/36 USD,113.88483,USD
BBG00006H2X6,US219350AH86,"219350AH8","2794969",GLW29,US,CORNING INC 6.85% SNR 01/03/29,106.43375,USD
BBG00005GFQ8,US55616XAC11,"55616XAC1","2264428",M/28A,US,MACY'S RETAIL HLDGS INC 7% DEB 15/02/2028,100.32648,USD
BBG00007ZZZ9,US293791AF64,"293791AF6","2829429",EPD33,US,ENTERPRISE PRODS OPER LLC DISC 6.875% GTD SNR 01/03/33 USD,112.07563,USD
BBG0000B9BJ0,US293791AT68,"293791AT6",B0HFPV3,EPD35,US,ENTERPRISE PRODS OPER LLC DISC 5.75% GTD SNR 01/03/35 USD,103.20175,USD
BBG0000213W1,US29379VAM54,"29379VAM5",B57FW28,EPD38,US,ENTERPRISE PRODS OPER LLC DISC 7.55% GTD SNR 15/04/38 USD,122.28811,USD
BBG001DLSC90,US40414LAE92,"40414LAE9",B453WJ4,PEAK41,US,HEALTHPEAK OP LLC 6.75% SNR 01/02/41,110.55264,USD
BBG0000N1FK1,US548661CR62,"548661CR6",B5VT2F9,LOW40,US,LOWE'S COMPANIES INC 5.8% SNR 15/04/2040,104.44382,USD
BBG001K17ZJ7,US58155QAE35,"58155QAE3",B5WHPG4,MCK41,US,MCKESSON CORPORATION 6% SNR 01/03/2041,101.94744,USD
BBG00001WGX9,US617446HD43,"617446HD4",B4021X3,MS/32,US,MORGAN STANLEY 7.25% SNR 01/04/32,116.99723,USD
BBG00002Y685,US254063AU43,"254063AU4",B8YS908,DDS26,US,DILLARDS INC 7.75% DEB 15/07/26,104.75067,USD
BBG00002STL7,US254067AN14,"254067AN1",B2PLNS0,DDS28,US,DILLARDS INC 7% SNR 01/12/2028,106.105,USD
BBG0000GZ4S6,US314275AC25,"314275AC2",B1TWZV9,M/37,US,MACY'S RETAIL HLDGS INC 6.375% GTD SNR 15/03/37 USD,83.89021,USD
BBG00006YKQ5,US345370BZ25,"345370BZ2",B2PJ135,F29,US,FORD MOTOR CO 6.375% SNR 01/02/29,102.83938,USD
BBG0000DRRQ3,US68268NAC74,"68268NAC7",B1FJV72,OKE36,US,ONEOK PARTNERS LP 6.65% GTD SNR 01/10/36 USD,110.67212,USD
BBG0000CZFM6,US68268NAD57,"68268NAD5",B2830T3,OKE37,US,ONEOK PARTNERS LP 6.85% GTD SNR 15/10/37 USD,111.74691,USD
BBG0000N87V0,US71644EAJ10,"71644EAJ1",B2RJ2C9,SU/38,US,SUNCOR ENERGY INC 6.8% SNR 15/05/2038,110.59652,USD
